Step, Time, Epot, Ekin, Etot
101, 4.040000, -598316.156372, 6151.675910, -592164.480462
102, 4.080000, -596597.174464, 6124.151202, -590473.023262
103, 4.120000, -594352.211507, 6125.969315, -588226.242192
104, 4.160000, -596505.424768, 6171.831739, -590333.593029
105, 4.200000, -597184.972259, 6185.291454, -590999.680805
106, 4.240000, -596481.227461, 6154.370041, -590326.857420
107, 4.280000, -595882.359757, 6144.277310, -589738.082447
108, 4.320000, -596404.104465, 6198.476329, -590205.628136
109, 4.360000, -598838.668635, 6158.273874, -592680.394761
110, 4.400000, -597581.030619, 6095.095706, -591485.934914
111, 4.440000, -597061.693983, 6106.488633, -590955.205350
112, 4.480000, -597478.026723, 6131.071165, -591346.955558
113, 4.520000, -597592.720784, 6141.827836, -591450.892948
114, 4.560000, -599004.406805, 6142.103507, -592862.303297
115, 4.600000, -596514.953918, 6178.956457, -590335.997461
116, 4.640000, -596908.302168, 6201.601957, -590706.700211
117, 4.680000, -599025.345279, 6165.574705, -592859.770574
118, 4.720000, -599444.638531, 6061.200200, -593383.438331
119, 4.760000, -600412.392020, 6036.471663, -594375.920357
120, 4.800000, -600714.800201, 6068.221259, -594646.578942
121, 4.840000, -600117.284037, 6059.534216, -594057.749821
122, 4.880000, -599247.351345, 6030.103686, -593217.247660
123, 4.920000, -600378.399174, 6010.372713, -594368.026461
124, 4.960000, -599989.415629, 6033.220310, -593956.195319
125, 5.000000, -596819.774360, 6045.936416, -590773.837945
126, 5.040000, -596765.262315, 6047.835814, -590717.426501
127, 5.080000, -596756.223345, 6055.663458, -590700.559887
128, 5.120000, -597661.879859, 6023.171979, -591638.707880
129, 5.160000, -597749.352567, 6014.472554, -591734.880013
130, 5.200000, -596953.969354, 6038.756182, -590915.213171
131, 5.240000, -597797.699959, 6015.245961, -591782.453997
132, 5.280000, -598843.616508, 5996.671715, -592846.944793
133, 5.320000, -601443.907312, 5984.182219, -595459.725093
134, 5.360000, -601502.853757, 5973.436216, -595529.417540
135, 5.400000, -600327.551714, 5940.525467, -594387.026246
136, 5.440000, -597623.419156, 5950.746637, -591672.672519
137, 5.480000, -597659.788743, 6021.692352, -591638.096392
138, 5.520000, -600312.589367, 6069.046386, -594243.542982
139, 5.560000, -600969.233972, 6098.549409, -594870.684563
140, 5.600000, -598691.033100, 6098.863009, -592592.170091
141, 5.640000, -598061.732413, 6108.510799, -591953.221614
142, 5.680000, -599050.526893, 6087.329810, -592963.197083
143, 5.720000, -595485.278134, 6028.310059, -589456.968075
144, 5.760000, -595805.612144, 6029.460923, -589776.151221
145, 5.800000, -593086.836475, 6109.632948, -586977.203526
146, 5.840000, -594829.696997, 6124.207843, -588705.489153
147, 5.880000, -594521.957163, 6099.035842, -588422.921320
148, 5.920000, -595115.096536, 6082.247660, -589032.848877
149, 5.960000, -598081.164572, 6042.043962, -592039.120611
150, 6.000000, -598016.035698, 6026.599808, -591989.435889
151, 6.040000, -597624.343644, 6046.769703, -591577.573940
152, 6.080000, -598400.311808, 6055.402393, -592344.909415
153, 6.120000, -598634.521317, 6094.789584, -592539.731733
154, 6.160000, -596411.728424, 6101.614686, -590310.113738
155, 6.200000, -598169.430145, 6041.453153, -592127.976992
156, 6.240000, -597883.884345, 5982.412067, -591901.472279
157, 6.280000, -596813.450334, 5914.924677, -590898.525657
158, 6.320000, -594610.936889, 5935.507110, -588675.429779
159, 6.360000, -596963.941223, 6038.647815, -590925.293408
160, 6.400000, -595638.275363, 6094.965713, -589543.309649
161, 6.440000, -595692.001624, 6078.183903, -589613.817721
162, 6.480000, -595438.212121, 6008.836930, -589429.375191
163, 6.520000, -595306.531834, 5984.670490, -589321.861343
164, 6.560000, -595803.218397, 5982.158973, -589821.059424
165, 6.600000, -596445.555607, 6003.372947, -590442.182660
166, 6.640000, -595920.770654, 6019.917349, -589900.853304
167, 6.680000, -593879.331170, 6042.126292, -587837.204878
168, 6.720000, -594100.356453, 6023.003239, -588077.353214
169, 6.760000, -595908.389491, 5980.591432, -589927.798059
170, 6.800000, -597308.712799, 5987.188614, -591321.524185
171, 6.840000, -599274.491964, 6024.561261, -593249.930704
172, 6.880000, -597564.148259, 6046.020920, -591518.127339
173, 6.920000, -598759.409965, 6065.300295, -592694.109670
174, 6.960000, -598544.927372, 6016.421928, -592528.505443
175, 7.000000, -598739.009487, 5957.746711, -592781.262776
176, 7.040000, -598227.328563, 5972.632701, -592254.695861
177, 7.080000, -599875.576062, 5958.206393, -593917.369669
178, 7.120000, -596745.225387, 5905.309711, -590839.915676
179, 7.160000, -596635.367455, 5868.410648, -590766.956807
180, 7.200000, -597158.512017, 5889.693172, -591268.818845
181, 7.240000, -598626.069272, 5893.031802, -592733.037470
182, 7.280000, -598697.815917, 5826.723809, -592871.092108
183, 7.320000, -599248.980928, 5760.477062, -593488.503867
184, 7.360000, -597522.485488, 5738.289995, -591784.195493
185, 7.400000, -597467.893659, 5775.594937, -591692.298723
186, 7.440000, -599762.097058, 5826.372766, -593935.724292
187, 7.480000, -598967.434489, 5839.335996, -593128.098492
188, 7.520000, -601386.294703, 5847.042459, -595539.252244
189, 7.560000, -598264.866181, 5804.555700, -592460.310481
190, 7.600000, -595485.751569, 5747.437526, -589738.314043
191, 7.640000, -598350.704509, 5764.173091, -592586.531418
192, 7.680000, -596662.147771, 5756.190364, -590905.957407
193, 7.720000, -594608.853620, 5784.253901, -588824.599719
194, 7.760000, -595122.471298, 5818.219065, -589304.252232
195, 7.800000, -595669.211667, 5779.489001, -589889.722666
196, 7.840000, -599267.319568, 5726.985590, -593540.333978
197, 7.880000, -600084.002389, 5738.269188, -594345.733201
198, 7.920000, -596275.167963, 5778.772683, -590496.395280
199, 7.960000, -597843.291639, 5801.304824, -592041.986815
